,League,Region,Home Team,Away Team,Commence Times,Last Updated,H2H Odds,H2H Lay Odds
0,AFL,au,Richmond Tigers,Carlton Blues,1584606300,1584581548,"[4.1, 1.31]","[4.3, 1.32]"
1,AFL,au,Western Bulldogs,Collingwood Magpies,1584694200,1584581548,"[1.86, 2.08]","[1.92, 2.18]"
2,AFL,au,Fremantle Dockers,Essendon Bombers,1584758700,1584581548,"[1.52, 2.82]","[1.54, 2.98]"
3,AFL,au,Sydney Swans,Adelaide Crows,1584768900,1584581548,"[1.75, 2.18]","[1.84, 2.34]"
4,AFL,au,Greater Western Sydney Giants,Geelong Cats,1584779100,1584581548,"[2.52, 1.62]","[2.62, 1.66]"
5,AFL,au,Port Adelaide Power,Gold Coast Suns,1584779100,1584581548,"[2.68, 1.55]","[2.88, 1.59]"
6,AFL,au,St Kilda Saints,North Melbourne Kangaroos,1584843000,1584581548,"[1.98, 1.94]","[2.06, 2.04]"
7,AFL,au,Hawthorn Hawks,Brisbane Lions,1584850800,1584581548,"[1.87, 2.04]","[1.95, 2.14]"
8,AFL,au,West Coast Eagles,Melbourne Demons,1584861600,1584581548,"[3.5, 1.36]","[3.8, 1.4]"
9,AFL,uk,Richmond Tigers,Carlton Blues,1584606300,1584581548,"[4.1, 1.31]","[4.3, 1.32]"
10,AFL,uk,Western Bulldogs,Collingwood Magpies,1584694200,1584581548,"[1.86, 2.08]","[1.92, 2.18]"
11,AFL,uk,Fremantle Dockers,Essendon Bombers,1584758700,1584581548,"[1.52, 2.82]","[1.54, 2.98]"
12,AFL,uk,Sydney Swans,Adelaide Crows,1584768900,1584581548,"[1.75, 2.18]","[1.84, 2.34]"
13,AFL,uk,Greater Western Sydney Giants,Geelong Cats,1584779100,1584581548,"[2.52, 1.62]","[2.62, 1.66]"
14,AFL,uk,Port Adelaide Power,Gold Coast Suns,1584779100,1584581548,"[2.68, 1.55]","[2.88, 1.59]"
15,AFL,uk,St Kilda Saints,North Melbourne Kangaroos,1584843000,1584581548,"[1.98, 1.94]","[2.06, 2.04]"
16,AFL,uk,Hawthorn Hawks,Brisbane Lions,1584850800,1584581548,"[1.87, 2.04]","[1.95, 2.14]"
17,AFL,uk,West Coast Eagles,Melbourne Demons,1584861600,1584581548,"[3.5, 1.36]","[3.8, 1.4]"
18,AFL,eu,Richmond Tigers,Carlton Blues,1584606300,1584581548,"[4.1, 1.31]","[4.3, 1.32]"
19,AFL,eu,Western Bulldogs,Collingwood Magpies,1584694200,1584581548,"[1.86, 2.08]","[1.92, 2.18]"
20,AFL,eu,Fremantle Dockers,Essendon Bombers,1584758700,1584581548,"[1.52, 2.82]","[1.54, 2.98]"
21,AFL,eu,Sydney Swans,Adelaide Crows,1584768900,1584581548,"[1.75, 2.18]","[1.84, 2.34]"
22,AFL,eu,Greater Western Sydney Giants,Geelong Cats,1584779100,1584581548,"[2.52, 1.62]","[2.62, 1.66]"
23,AFL,eu,Port Adelaide Power,Gold Coast Suns,1584779100,1584581548,"[2.68, 1.55]","[2.88, 1.59]"
24,AFL,eu,St Kilda Saints,North Melbourne Kangaroos,1584843000,1584581548,"[1.98, 1.94]","[2.06, 2.04]"
25,AFL,eu,Hawthorn Hawks,Brisbane Lions,1584850800,1584581548,"[1.87, 2.04]","[1.95, 2.14]"
26,AFL,eu,West Coast Eagles,Melbourne Demons,1584861600,1584581548,"[3.5, 1.36]","[3.8, 1.4]"
27,AFL,us,Richmond Tigers,Carlton Blues,1584606300,1584581548,"[4.1, 1.31]","[4.3, 1.32]"
28,AFL,us,Western Bulldogs,Collingwood Magpies,1584694200,1584581548,"[1.86, 2.08]","[1.92, 2.18]"
29,AFL,us,Fremantle Dockers,Essendon Bombers,1584758700,1584581548,"[1.52, 2.82]","[1.54, 2.98]"
30,AFL,us,Sydney Swans,Adelaide Crows,1584768900,1584581548,"[1.75, 2.18]","[1.84, 2.34]"
31,AFL,us,Greater Western Sydney Giants,Geelong Cats,1584779100,1584581548,"[2.52, 1.62]","[2.62, 1.66]"
32,AFL,us,Port Adelaide Power,Gold Coast Suns,1584779100,1584581548,"[2.68, 1.55]","[2.88, 1.59]"
33,AFL,us,St Kilda Saints,North Melbourne Kangaroos,1584843000,1584581548,"[1.98, 1.94]","[2.06, 2.04]"
34,AFL,us,Hawthorn Hawks,Brisbane Lions,1584850800,1584581548,"[1.87, 2.04]","[1.95, 2.14]"
35,AFL,us,West Coast Eagles,Melbourne Demons,1584861600,1584581548,"[3.5, 1.36]","[3.8, 1.4]"
36,MMA,au,Tony Ferguson,Khabib Nurmagomedov,1587265200,1584581532,"[1.36, 3.45]","[1.41, 3.85]"
37,MMA,uk,Tony Ferguson,Khabib Nurmagomedov,1587265200,1584581532,"[1.36, 3.45]","[1.41, 3.85]"
38,MMA,eu,Tony Ferguson,Khabib Nurmagomedov,1587265200,1584581532,"[1.36, 3.45]","[1.41, 3.85]"
39,MMA,us,Tony Ferguson,Khabib Nurmagomedov,1587265200,1584581532,"[1.36, 3.45]","[1.41, 3.85]"
40,A-League,au,Melbourne City,Central Coast Mariners,1584685800,1584581372,"[6.0, 1.59, 4.7]","[6.4, 1.62, 4.9]"
41,A-League,au,Western Sydney Wanderers,Sydney FC,1584779400,1584581372,"[2.16, 3.45, 3.7]","[2.28, 3.7, 3.9]"
42,A-League,au,Western United FC,Perth Glory,1584959400,1584581372,"[1.65, 5.2, 4.2]","[1.71, 6.2, 4.6]"
43,A-League,uk,Melbourne City,Central Coast Mariners,1584685800,1584581372,"[6.0, 1.59, 4.7]","[6.4, 1.62, 4.9]"
44,A-League,uk,Western Sydney Wanderers,Sydney FC,1584779400,1584581372,"[2.16, 3.45, 3.7]","[2.28, 3.7, 3.9]"
45,A-League,uk,Western United FC,Perth Glory,1584959400,1584581372,"[1.65, 5.2, 4.2]","[1.71, 6.2, 4.6]"
46,A-League,eu,Melbourne City,Central Coast Mariners,1584685800,1584581372,"[6.0, 1.59, 4.7]","[6.4, 1.62, 4.9]"
47,A-League,eu,Western Sydney Wanderers,Sydney FC,1584779400,1584581372,"[2.16, 3.45, 3.7]","[2.28, 3.7, 3.9]"
48,A-League,eu,Western United FC,Perth Glory,1584959400,1584581372,"[1.65, 5.2, 4.2]","[1.71, 6.2, 4.6]"
49,A-League,us,Melbourne City,Central Coast Mariners,1584685800,1584581372,"[6.0, 1.59, 4.7]","[6.4, 1.62, 4.9]"
50,A-League,us,Western Sydney Wanderers,Sydney FC,1584779400,1584581372,"[2.16, 3.45, 3.7]","[2.28, 3.7, 3.9]"
51,A-League,us,Western United FC,Perth Glory,1584959400,1584581372,"[1.65, 5.2, 4.2]","[1.71, 6.2, 4.6]"
52,Turkey Super League,au,Kayserispor,Fenerbahce,1584723600,1584581623,"[1.33, 10.0, 6.0]","[1.34, 11.0, 6.6]"
53,Turkey Super League,au,Gazişehir Gaziantep,Ankaragücü,1584788400,1584581623,"[4.4, 1.82, 3.8]","[5.3, 1.93, 4.3]"
54,Turkey Super League,au,Sivasspor,Denizlispor,1584799200,1584581623,"[6.6, 1.57, 4.1]","[7.8, 1.6, 4.8]"
55,Turkey Super League,au,Yeni Malatyaspor,Kasimpasa SK,1584799200,1584581623,"[3.2, 2.38, 3.7]","[3.25, 2.4, 3.75]"
56,Turkey Super League,au,Besiktas JK,Antalyaspor,1584810000,1584581623,"[6.8, 1.55, 4.4]","[7.8, 1.56, 4.9]"
57,Turkey Super League,au,Torku Konyaspor,Genclerbirligi SK,1584873000,1584581623,"[2.36, 3.35, 3.3]","[2.48, 3.7, 3.5]"
58,Turkey Super League,au,Çaykur Rizespor,Galatasaray,1584882000,1584581623,"[1.76, 4.8, 4.0]","[1.85, 5.5, 4.2]"
59,Turkey Super League,au,Basaksehir,Alanyaspor,1584892800,1584581623,"[4.5, 1.9, 3.55]","[5.3, 1.95, 4.0]"
60,Turkey Super League,au,Trabzonspor,Goztepe,1584892800,1584581623,"[3.1, 2.26, 3.85]","[3.4, 2.4, 3.9]"
61,Turkey Super League,uk,Kayserispor,Fenerbahce,1584723600,1584581623,"[1.33, 10.0, 6.0]","[1.34, 11.0, 6.6]"
62,Turkey Super League,uk,Gazişehir Gaziantep,Ankaragücü,1584788400,1584581623,"[4.4, 1.82, 3.8]","[5.3, 1.93, 4.3]"
63,Turkey Super League,uk,Sivasspor,Denizlispor,1584799200,1584581623,"[6.6, 1.57, 4.1]","[7.8, 1.6, 4.8]"
64,Turkey Super League,uk,Yeni Malatyaspor,Kasimpasa SK,1584799200,1584581623,"[3.2, 2.38, 3.7]","[3.25, 2.4, 3.75]"
65,Turkey Super League,uk,Besiktas JK,Antalyaspor,1584810000,1584581623,"[6.8, 1.55, 4.4]","[7.8, 1.56, 4.9]"
66,Turkey Super League,uk,Torku Konyaspor,Genclerbirligi SK,1584873000,1584581623,"[2.36, 3.35, 3.3]","[2.48, 3.7, 3.5]"
67,Turkey Super League,uk,Çaykur Rizespor,Galatasaray,1584882000,1584581623,"[1.76, 4.8, 4.0]","[1.85, 5.5, 4.2]"
68,Turkey Super League,uk,Basaksehir,Alanyaspor,1584892800,1584581623,"[4.5, 1.9, 3.55]","[5.3, 1.95, 4.0]"
69,Turkey Super League,uk,Trabzonspor,Goztepe,1584892800,1584581623,"[3.1, 2.26, 3.85]","[3.4, 2.4, 3.9]"
70,Turkey Super League,eu,Kayserispor,Fenerbahce,1584723600,1584581623,"[1.33, 10.0, 6.0]","[1.34, 11.0, 6.6]"
71,Turkey Super League,eu,Gazişehir Gaziantep,Ankaragücü,1584788400,1584581623,"[4.4, 1.82, 3.8]","[5.3, 1.93, 4.3]"
72,Turkey Super League,eu,Sivasspor,Denizlispor,1584799200,1584581623,"[6.6, 1.57, 4.1]","[7.8, 1.6, 4.8]"
73,Turkey Super League,eu,Yeni Malatyaspor,Kasimpasa SK,1584799200,1584581623,"[3.2, 2.38, 3.7]","[3.25, 2.4, 3.75]"
74,Turkey Super League,eu,Besiktas JK,Antalyaspor,1584810000,1584581623,"[6.8, 1.55, 4.4]","[7.8, 1.56, 4.9]"
75,Turkey Super League,eu,Torku Konyaspor,Genclerbirligi SK,1584873000,1584581623,"[2.36, 3.35, 3.3]","[2.48, 3.7, 3.5]"
76,Turkey Super League,eu,Çaykur Rizespor,Galatasaray,1584882000,1584581623,"[1.76, 4.8, 4.0]","[1.85, 5.5, 4.2]"
77,Turkey Super League,eu,Basaksehir,Alanyaspor,1584892800,1584581623,"[4.5, 1.9, 3.55]","[5.3, 1.95, 4.0]"
78,Turkey Super League,eu,Trabzonspor,Goztepe,1584892800,1584581623,"[3.1, 2.26, 3.85]","[3.4, 2.4, 3.9]"
79,Turkey Super League,us,Kayserispor,Fenerbahce,1584723600,1584581623,"[1.33, 10.0, 6.0]","[1.34, 11.0, 6.6]"
80,Turkey Super League,us,Gazişehir Gaziantep,Ankaragücü,1584788400,1584581623,"[4.4, 1.82, 3.8]","[5.3, 1.93, 4.3]"
81,Turkey Super League,us,Sivasspor,Denizlispor,1584799200,1584581623,"[6.6, 1.57, 4.1]","[7.8, 1.6, 4.8]"
82,Turkey Super League,us,Yeni Malatyaspor,Kasimpasa SK,1584799200,1584581623,"[3.2, 2.38, 3.7]","[3.25, 2.4, 3.75]"
83,Turkey Super League,us,Besiktas JK,Antalyaspor,1584810000,1584581623,"[6.8, 1.55, 4.4]","[7.8, 1.56, 4.9]"
84,Turkey Super League,us,Torku Konyaspor,Genclerbirligi SK,1584873000,1584581623,"[2.36, 3.35, 3.3]","[2.48, 3.7, 3.5]"
85,Turkey Super League,us,Çaykur Rizespor,Galatasaray,1584882000,1584581623,"[1.76, 4.8, 4.0]","[1.85, 5.5, 4.2]"
86,Turkey Super League,us,Basaksehir,Alanyaspor,1584892800,1584581623,"[4.5, 1.9, 3.55]","[5.3, 1.95, 4.0]"
87,Turkey Super League,us,Trabzonspor,Goztepe,1584892800,1584581623,"[3.1, 2.26, 3.85]","[3.4, 2.4, 3.9]"
